placeId,description
40,objek wisata selanjutnya adalah air terjun SImanimbo. Sebuah destinasi wisata yang menyuguhkan alam asri dan petualangan yang tidak terlupakan. Meski untuk mencapai lokasi membutuhkan waktu beberapa lama dengan berjalan kaki namun setibanya di lokasi kita akan disuguhi aliran air yang sangat besar dan segar. sebuah kolam berukuran sedang berada tepat dibawahnya. Kesegaran airnya siap memanjakan pengunjung yang datang. Kamu akan diaja berenang dibawah guyuran air terjun sembari menikmati alam yang menawan dan udara sejuk yang tiada duanya
41,Bertempat di Desa lumbantor Natolu tali kecamatan Silaen kab Tobasa dilaksanakan acara peletakan Batu pertama pembangunan monumen atau tugu pahlawan nasional Mayjend D.I. Panjaitan Sabtu ( 24 agustus 2019 ).
42,"Taman eden 100 merupakan objek wisata rimba di desa Sionggang Utara, kecamatan Lumban Rang, Kab. Toba. Ini adalah destinasi yang didirikan oleh Maradus sirait, sosok pecinta alam yang gemar melestarikan alam."
43,"Awalnya sekolah misionaris, tempat ini sering digunakan untuk retret, doa atau kegiatan keluarga sederhana. Tapi jangan terkecoh dengan tampilannya yang sederhana – area rekreasi ini unik dengan air terjun alami Gibeon, yang jatuh ke dalam kolam buatan."
44,"Pantai indah ini diberai nama sesuai nama desanya yaitu terletak di Desa Lumban Bulbul, Kecamatan Balige, Kabupaten Toba Samosir berjarak sekitar 2 kilometer dari pusat kota Balige. Lokasinya juga cukup dekat dari pusat kota balige dan cukup mudah untuk diakses. Pengunjung juga dapat menggunakan jasa becak untuk bisa sampai kesana."
45,"Pantai Agadon merupakan garis pantai yang berdampingan dengan sawah terasering, di kaki bukit barisan. Pantai  yang berada di perbatasan Desa Sibaruang Kecamatan Lumbanjulu dan Desa Sampuara Kecamatan Uluan, Kabupaten Toba, Provinsi Sumatera Utara ini dapat ditempuh dari Balige dengan jalan darat."
46,"Pantai Meat memiliki air yang sangat jernih dan membentang luas sejauh mata memandang. Selain itu pantai ini sangat bersih, tidak terlihat sampah beterbangan sehingga membuat suasananya sangat nyaman. buat yang ingin foto juga banyak spot foto kekinian yang cocok sekali dijadikan tujuan berlibur bersama keluarga. Pantai meat juga memiliki ombak yang bersahabat sehingga cocok sekali jika ingin berenang. Selain itu pantai ini juga ramah terhadap anak-anak"
47,"taman eden 100 merupakan tempat wisata alam yang terletak di daerah toba samosir. pemandangan air terjun, goa kelelawar dan bukit manja begitu menyenangkan, serta hujan tropis yang sangat bagus untuk tujuan edukasi san camping ground. Perjalanan ke taman eder 100 di lumban rang bisa diakses dari parapat atau balige. letaknya ditepi jalan yang kondisinya sudah bagus dan mudah ditemukan."
48,Air terjun ini sangat indah dan asri. Pemandangan di air terjun ini membuat mata terpesona. Airnya juga sangat segar dan jernih. Ke air terjun ini harus menggunakan kapal/speedboat.
49,"Dari tahun 90-an hingga sekarang, meat dikenal namanya lewat produksi ulos terbaik. Itulah mengapa ada 70% wanita batak ynag tinggal diperkampungan ini bekerja sebagai partonun ulos"
50,"Siregar Aek Nalas merupakan desa di wilayah kec. Uluan, Kab. Toba yang berbatasan dengan Desa Sigaol dan Aek Horsik. Keaslian alam serta latar danau menjadi aspek wisata unggulan yang membuat ketiga wilayah ini cukup direkomendasikan untuk dikunjungi. Berada di ketinggian 910 meter di atas permukaan laut serta diapit oleh perbukitan, pantai dan danau membuat Desa Siregar Aek Nalas memiliki potensi wisata alam yang luar biasa. Tak heran jika wilayah yang mayoritas dihuni oleh masyarakat Batak tersebut menarik untuk dieksplorasi. Terkenal sebagai tempat yang damai dan tentram, maka di Siregar Aek Nalas pengunjung bisa menikmati suasana tenang sekaligus melawat ke sederet objek wisata alam yang memukau. Seperti pemandian air panas, pantai dan spot berburu foto dengan background danau toba.
"
51,"Dari penatapan ini, pengunjung dapat melihat pemandangan Danau Toba yang begitu indah dan menyegarkan pikiran. Wisata ini cocok untuk bersama keluarga."
52,"Dari penatapan ini, pengunjung dapat melihat pemandangan Danau Toba yang begitu indah dan menyegarkan pikiran. Wisata ini cocok untuk bersama keluarga."
53,"Pantai sibola hotang adalah pantai rekreasi yang berada dekat Lago hotel dan Resto balige. Tepatnya didesa sibola hotang Sas Kab.Tobasa. Pantai ini muncul tahun 2016 silam dan mulai beroperasi diawal 2017 dengan cakupan lahan seluas 1 hektare. Paska dibuka untuk wisatawan dari tahun 2017 sampai sekarang. pantai yang dikenal dengan gerbang berbentuk ukiran gorga batak ini ibarat masih tersembunyi. Jadinya, tiap wisatawan yang mendatangi tempat tersebut seperti sedang berlibur destinasi pribadi"
54,"Bukit ini tidak kalah menawan dan sesuai dengan namanya akan membuat anda tersenyum dengan pemandangannya yang begitu cantik. Dari puncak bukit kita bisa melihat padang rumput ynag digunakan penduduk sekitar untuk menggembala sapi serta domba, sungguh pemandangan yang menyejukkan dan membuat kita semakin betah berlama lama. Bukit senyum memiliki panorama alam yang menawan dan cocok sekali menjadi latar belakang foto maupun prewedding."
55,"Awalnya sekolah misionaris, tempat ini sering digunakan untuk retret, doa atau kegiatan keluarga sederhana. Tapi jangan terkecoh dengan tampilannya yang sederhana – area rekreasi ini unik dengan air terjun alami Gibeon, yang jatuh ke dalam kolam buatan."
56,"Bukit Senyum salah satu objek wisata alam yang menawan berada di tepian Danau Toba, Motung, Kabupaten Toba Samosir. Keindahan bukit ini mampu memanjakan mata siapapun yang berkunjung. Bukit Senyum dahulu dikenal dengan nama Bukit Sitanggiting. Salah satu pesona memikat di tepian Danau Toba. Konon, dilabeli sebagai Bukit Senyum karena keindahannya mampu membuat Anda tersenyum. Letaknya di Kecamatan Ajibata. Tidak jauh dari Parapat, kota wisata terkenal di Kabupaten Simalungan. Terpisah jarak 23 kilometer atau setara 45 menit perjalanan. Anda akan disajikan pemandangan menakjubkan ketika tiba di bukit ini. Tanah lapang berhiaskan rerumputan segar. Berpotensi besar membuat Anda betah berlama-lama walau di tengah keterbatasan fasilitas."
57,"Tempat wisata di Toba Samosir yang kedua adalah wisata pantai bulbul. Pemandangan yang terhampar didepan mata sungguh menyejukkan dan sangat eksotis, terlihat gulungan ombak diantara birunya air laut menjadikan pantai ini sebagai destinasi wisata andalan kota Toba Samosir. Bagi pecinta pantai rasanya sayang sekali jika belum mengunjungi tempat ini berburu hal-hal menarik seperti bermain air sambil mengumpulkan kerang - kerangan, bermain pasir sembari santai menikmati indahnya alam ciptaan Tuhan. Tidak hanya sampai disitu saja, ada banyak daya tarik lain yang sayang sekali jika dilewatkan, salah satunya adalah kemolekan alam bawah lautnya, ada banyak biota laut ynag hidup dengan damai, mulai dari ribuan jenis ikan hias yang berenang kesana kemari, terumbu karang yang tumbuh subur dan masih banyak lagi"
58,"Panorama yang disajikan tepi laut di danau ini gak kalah dari tepi laut di pinggir laut. Terlebih tepi laut yang terdapat di kawasan danau toba Airnya tidak berasa asin.By the way Tepi laut Pasir putih ini gak kalah menawan dengan tepi laut di tepi laut. Sepanjang mata memandang, kalian bakal menikmati hamparan danau yang luas dan Puncak bukit yang menjulang besar.
Terletak di zona atau area Kaldera Danau Toba, Porsea adalah tempat yang harus sobat gaul kunjungi saat Anda ingin berlibur bersama keluarga anda. Pantai Pasir Putih Parparean ini kini menjadi satu-satunya destinasi wisata pantai berpasir putih yang ada di Porsea.
Objek wisata ini berlokasi di Desa Parparean II, Kec. Porsea, Kab. Tobasa, Sumut Tempat ini sangat diminati oleh para wisatawan untuk mengisi masa liburan mereka di akhir pekan."
59,"Batak merupakan salah satu etnis yang cukup dikenal di negeri ini. Namun segala kekhususan budaya Batak dan sejarahnya tidak banyak kita temukan untuk mengenalinya secara utuh. Diaspora orang Batak di penjuru tanah air dan dunia juga semakin banyak dan kebutuhan untuk mempertahankan identitas Batak semakin kuat. Hal itulah yang mendasari didirikannya Museum Batak di kawasan Museum TB Silalahi Center ini. Batak terdiri dari enam puak (sub etnis), yaitu Batak Toba, Batak Angkola, Batak Mandailing, Batak Karo, Batak Pakpak dan Batak Simalungun. Keenamnya memiliki kekhasannya masing – masing, bahkan dari segi bahasa. Perkembangan dunia informasi memungkinkan beragam pendapat dilontarkan mengenai budaya Batak. Hal ini rentan memicu perpecahan bagi persatuan keluarga besar masyarakat Batak.Dalam museum ini dapat kita kenali segala perbedaan, kekhususan keenam puak Batak tersebut dan juga benang merah filosofi Dalihan Na Tolu yang menyatukannya sebagai identitas Batak. Selain itu dapat kita lihat juga berbagai peninggalan kuno Batak dari beragam puak Batak, mulai dari kehidupan spiritualnya hingga ke benda – benda yang digunakan sehari – hari. Sifat magis dan kentalnya filosofi hidup Batak bisa kita lihat dalam koleksi Museum Batak."
60,"Kementerian Pariwisata menghadirkan destinasi wisata kembara (nomadic tourism) kelas dunia di Danau Toba.
Destinasi baru untuk mendukung Danau Toba sebagai destinasi super prioritas itu diberi nama The Kaldera – Toba Nomadic Escape dan akan resmi diluncurkan 4 April 2019 mendatang. Menurut Ketua Tim Percepatan Nomadic Kementerian Pariwisata, Waizly Darwin, The Kaldera merupakan amenitas wisata kembara (nomadic tourism) yang dikembangkan oleh Badan Pelaksana Otorita Danau Toba. Lokasinya ada di Lahan Zona Otorita Pariwisata Danau Toba, Sibisa, Kecamatan Ajibata, Kabupaten Toba Samosir. Nantinya, The Kaldera akan menyediakan amenitas berupa 15 Tenda Belt, 2 Cabin, 2 Tenda Bubble, 1 Ecopod, dan area parkir untuk Camper Van."
61,"lokasi pantai pasir putih ini hanya 100 meteran dari lumban bulbul. Karena itu pelancong dapat mengisi waktu kunjungan ke 2 objek wisata balige sekaligus. Meskipun menawarkan spot yang nyaris sama, ada keuntungan tersendiri memilih pantai janji maria yakni kondisinya yang selalu sepi kendati sedang libur. Eksotika pantai tidak cuma hebat dalam menyajikan pemandangan alam. namun bila dibandingkan dengan pantai lainnya, tempat wisata ini lebih unggul jika dinilai dari segi fasilitas. Dari rest room pondok hingga spot bersantai disediakan secara gratis alias free. Keindahan pantainnya memang tidak bisa dinafikan lagi. garis pantai yang panjang serta ditunjang oleh amenitas wisata serba modern menjadikan destinasi wisata ini punya karakter unik. Walau begitu, bukan berarti pantai janji maria meninggalkan unsur etniknya. Di beberapa titik, ditampilkan juga sisi budaya yang khas batak seperti ukiran gorga Toba pada bagian tembok dan pilar."
62,Pantai Hatulian adalah wisata air dan alam yang masih terjaga.
63,"Air Terjun Sigura Gura merupakan air terjun tertinggi yang ada di Indonesia, ketinggiannya mencapai 250 meter."
64,"Monumen Raja Sonak Malela yang berlokasi di ibu kota Kabupaten Toba Samosir BALIGE – Sumatera Utara. Nilai atau pemikiran yang ditinggalkan, bagi kita turunan Raja Sonak Malela masih dikenang dan dipanuti."
65,"Dengan ketinggian lebih dari 200 meter, Sampuran Harimau atau dalam bahasa lokalnya disebut Air Terjun Harimau terletak di perbatasan  Kab. Asahan dan Kab. Toba Samosir. Tepatnya di Desa Halado, Kecamatan Pintu Pohan Meranti, Provinsi Sumatera Utara. "
